Date,Shift,Ore Milled (MT),Head Grade (%Cu),COPPER IN HEAD (MT),Concentrate Grade (%Cu),Concentrate Production (MT),COPPER IN CONCENTRATE (MT),Tails Grade (%Cu),TAILINGS (MT),Recovery (%),Insoluble in Concentrate (%),COPPER IN TAILINGS (MT),Feed Rate (MT/h),Grinding kWh,Lime Bags,T Reagent (cc),Pine Oil (cc),Flotation pH,Milling Running Hours,Prev_Recovery (%),Prev_Feed Rate (MT/h),Prev_Head Grade (%Cu),Prev_Flotation pH,Roll7_Recovery (%),Roll7_Head Grade (%Cu),Roll7_Feed Rate (MT/h),Cu_Recovery_Efficiency,Estimated Feed Condition,Feed_Condition_Num,Shift_Num,Month,Day_of_Week,Source
01/10/2024,B,1874,1.01,18.927,29.2,57.5,16.79,0.122,1816.5,88.71,7.01,2.137,270.9,721.555,11,1200,10,9.09,7,91.31,237.14,0.978,9.6,90.01,0.994,254.02,88.709,Normal,1,1,10,1,Synthetic historical data (statistically generated)
01/10/2024,C,1960,1.066,20.894,29.1,64.756,18.844,0.099,1895.244,90.19,6.22,2.05,249.84,728.617,12,1200,10,9.7,8,88.71,270.9,1.01,9.09,90.07,1.018,252.627,90.189,Normal,1,2,10,1,Synthetic historical data (statistically generated)
02/10/2024,A,1914,1.062,20.327,30.2,62.185,18.78,0.08,1851.815,92.39,7.32,1.547,234.41,726.702,12,1200,12,9.65,8,90.19,249.84,1.066,9.7,90.65,1.029,248.072,92.389,Soft,0,0,10,2,Synthetic historical data (statistically generated)
02/10/2024,B,1693,1.132,19.165,29.1,58.918,17.145,0.129,1634.082,89.46,6.92,2.02,215.98,722.29,10,1200,11,9.4,8,92.39,234.41,1.062,9.65,90.412,1.05,241.654,89.46,Normal,1,1,10,2,Synthetic historical data (statistically generated)
02/10/2024,C,1784,1.023,18.25,30.8,52.948,16.308,0.107,1731.052,89.36,6.05,1.942,251.26,725.614,11,1200,12,9.58,7,89.46,215.98,1.132,9.4,90.237,1.045,243.255,89.359,Normal,1,2,10,2,Synthetic historical data (statistically generated)
03/10/2024,A,1509,0.895,13.506,30.1,39.372,11.851,0.12,1469.628,87.75,7.65,1.655,219.35,720.635,11,1200,12,10.0,7,89.36,251.26,1.023,9.58,89.881,1.024,239.84,87.746,Hard,2,0,10,3,Synthetic historical data (statistically generated)
03/10/2024,B,1962,1.107,21.719,30.0,65.83,19.749,0.094,1896.17,90.93,7.78,1.97,239.53,724.537,12,1200,12,9.26,8,87.75,219.35,0.895,10.0,89.827,1.042,240.181,90.93,Soft,0,1,10,3,Synthetic historical data (statistically generated)
03/10/2024,C,1695,1.094,18.543,29.0,57.421,16.652,0.121,1637.579,89.8,7.7,1.891,242.71,725.304,10,1200,12,9.32,7,90.93,239.53,1.107,9.26,89.983,1.054,236.154,89.802,Normal,1,2,10,3,Synthetic historical data (statistically generated)
04/10/2024,A,1875,1.035,19.406,30.0,57.217,17.165,0.121,1817.783,88.45,6.16,2.241,271.58,729.78,12,1200,10,9.13,7,89.8,242.71,1.094,9.32,89.734,1.05,239.26,88.452,Normal,1,0,10,4,Synthetic historical data (statistically generated)
04/10/2024,B,1651,1.009,16.659,29.9,50.161,14.998,0.096,1600.839,90.03,5.66,1.661,238.87,726.717,11,1200,11,9.9,7,88.45,271.58,1.035,9.13,89.397,1.042,239.897,90.029,Normal,1,1,10,4,Synthetic historical data (statistically generated)
04/10/2024,C,2120,1.153,24.444,30.3,73.597,22.3,0.095,2046.403,91.23,5.83,2.144,297.93,728.596,10,1200,12,9.24,7,90.03,238.87,1.009,9.9,89.65,1.045,251.604,91.229,Soft,0,2,10,4,Synthetic historical data (statistically generated)
05/10/2024,A,1520,0.957,14.546,29.1,43.12,12.548,0.136,1476.88,86.26,7.12,1.998,211.86,723.543,11,1200,11,9.86,7,91.23,297.93,1.153,9.24,89.207,1.036,245.976,86.264,Hard,2,0,10,5,Synthetic historical data (statistically generated)
05/10/2024,B,2068,1.086,22.458,30.7,67.15,20.615,0.082,2000.85,91.79,7.13,1.843,252.92,724.626,10,1200,11,9.81,8,86.26,211.86,0.957,9.86,89.784,1.063,250.771,91.794,Soft,0,1,10,5,Synthetic historical data (statistically generated)
05/10/2024,C,1632,0.978,15.961,31.0,45.958,14.247,0.1,1586.042,89.26,7.46,1.714,203.82,724.01,10,1200,10,9.38,8,91.79,252.92,1.086,9.81,89.546,1.045,245.67,89.261,Normal,1,2,10,5,Synthetic historical data (statistically generated)
06/10/2024,A,1882,1.076,20.25,30.5,59.882,18.264,0.096,1822.118,90.19,6.96,1.986,230.38,729.687,12,1200,12,9.54,8,89.26,203.82,0.978,9.38,89.601,1.042,243.909,90.193,Normal,1,0,10,6,Synthetic historical data (statistically generated)
06/10/2024,B,1967,0.97,19.08,30.1,57.176,17.21,0.097,1909.824,90.2,5.6,1.87,273.73,728.618,11,1200,10,9.94,7,90.19,230.38,1.076,9.54,89.851,1.033,244.216,90.199,Normal,1,1,10,6,Synthetic historical data (statistically generated)
06/10/2024,C,1839,1.046,19.236,30.5,57.102,17.416,0.09,1781.898,90.54,6.65,1.82,226.27,726.717,11,1200,11,9.32,8,90.2,273.73,0.97,9.94,89.924,1.038,242.416,90.539,Normal,1,2,10,6,Synthetic historical data (statistically generated)
07/10/2024,A,1606,0.934,15.0,30.4,43.526,13.232,0.113,1562.474,88.21,7.97,1.768,205.34,723.695,10,1200,11,9.83,8,90.54,226.27,1.046,9.32,89.493,1.007,229.189,88.213,Hard,2,0,10,0,Synthetic historical data (statistically generated)
07/10/2024,B,1595,1.126,17.96,29.4,55.748,16.39,0.095,1539.252,91.26,7.22,1.57,224.64,727.424,10,1200,11,9.28,7,88.21,205.34,0.934,9.83,90.207,1.031,231.014,91.258,Normal,1,1,10,0,Synthetic historical data (statistically generated)
07/10/2024,C,1833,0.977,17.908,29.3,55.126,16.152,0.095,1777.874,90.19,7.26,1.756,233.65,723.336,10,1200,12,9.98,8,91.26,224.64,1.126,9.28,89.979,1.015,228.261,90.194,Normal,1,2,10,0,Synthetic historical data (statistically generated)
08/10/2024,A,1654,1.106,18.293,30.8,53.269,16.407,0.121,1600.731,89.69,7.65,1.886,241.03,721.481,10,1200,10,9.31,7,90.19,233.65,0.977,9.98,90.04,1.034,233.577,89.69,Normal,1,0,10,1,Synthetic historical data (statistically generated)
08/10/2024,B,1817,1.049,19.06,30.6,56.895,17.41,0.098,1760.105,91.34,5.56,1.65,233.58,729.258,10,1200,10,9.98,8,89.69,241.03,1.106,9.31,90.204,1.03,234.034,91.343,Normal,1,1,10,1,Synthetic historical data (statistically generated)
08/10/2024,C,1802,1.127,20.309,30.6,58.788,17.989,0.128,1743.212,88.58,6.26,2.32,253.83,721.081,10,1200,11,9.22,7,91.34,233.58,1.049,9.98,89.973,1.052,231.191,88.576,Normal,1,2,10,1,Synthetic historical data (statistically generated)
09/10/2024,A,1739,0.978,17.007,30.1,51.419,15.477,0.096,1687.581,91.0,5.79,1.53,255.39,726.415,11,1200,12,9.98,7,88.58,253.83,1.127,9.22,90.039,1.042,235.351,91.004,Normal,1,0,10,2,Synthetic historical data (statistically generated)
09/10/2024,B,1398,1.022,14.288,30.2,41.563,12.552,0.118,1356.437,87.85,7.27,1.736,173.13,724.364,12,1200,10,9.39,8,91.0,255.39,0.978,9.98,89.987,1.055,230.75,87.85,Hard,2,1,10,2,Synthetic historical data (statistically generated)
09/10/2024,C,2046,1.057,21.626,30.7,63.189,19.399,0.114,1982.811,89.7,6.25,2.227,289.9,726.642,11,1200,12,9.31,7,87.85,173.13,1.022,9.39,89.764,1.045,240.073,89.702,Soft,0,2,10,2,Synthetic historical data (statistically generated)
10/10/2024,A,1769,1.027,18.168,29.8,55.185,16.445,0.104,1713.815,90.52,6.26,1.723,223.31,727.481,10,1200,12,9.57,8,89.7,289.9,1.057,9.31,89.811,1.052,238.596,90.516,Normal,1,0,10,3,Synthetic historical data (statistically generated)
10/10/2024,B,1880,1.092,20.53,29.6,63.206,18.709,0.1,1816.794,91.13,7.05,1.821,268.75,729.598,12,1200,10,9.66,7,90.52,223.31,1.027,9.57,90.017,1.05,242.556,91.13,Normal,1,1,10,3,Synthetic historical data (statistically generated)
10/10/2024,C,1924,0.996,19.163,30.3,57.716,17.488,0.082,1866.284,91.26,7.24,1.675,267.01,724.751,10,1200,11,9.41,7,91.13,268.75,1.092,9.66,90.006,1.043,247.331,91.259,Normal,1,2,10,3,Synthetic historical data (statistically generated)
11/10/2024,A,1856,1.036,19.228,30.1,57.558,17.325,0.111,1798.442,90.1,5.8,1.903,269.57,728.041,12,1200,12,9.46,7,91.26,267.01,0.996,9.41,90.223,1.03,249.58,90.103,Normal,1,0,10,4,Synthetic historical data (statistically generated)
11/10/2024,B,1737,1.076,18.69,30.5,55.311,16.87,0.104,1681.689,90.26,6.15,1.82,218.59,725.048,12,1200,11,9.9,8,90.1,269.57,1.036,9.46,90.117,1.044,244.323,90.262,Normal,1,1,10,4,Synthetic historical data (statistically generated)
11/10/2024,C,1754,1.101,19.312,29.2,59.795,17.46,0.098,1694.205,90.41,6.46,1.852,218.46,722.345,11,1200,11,9.89,8,90.26,218.59,1.076,9.9,90.483,1.055,250.799,90.41,Normal,1,2,10,4,Synthetic historical data (statistically generated)
12/10/2024,A,1669,1.033,17.241,30.8,50.646,15.599,0.1,1618.354,90.48,6.69,1.642,234.23,729.048,12,1200,12,9.02,7,90.41,218.46,1.101,9.89,90.594,1.052,242.846,90.476,Normal,1,0,10,5,Synthetic historical data (statistically generated)
12/10/2024,B,1551,0.912,14.145,30.6,39.967,12.23,0.129,1511.033,86.46,7.6,1.915,221.41,724.856,11,1200,11,9.67,7,90.48,234.23,1.033,9.02,90.014,1.035,242.574,86.462,Hard,2,1,10,5,Synthetic historical data (statistically generated)
12/10/2024,C,2081,1.046,21.767,29.7,65.471,19.445,0.111,2015.529,89.33,6.34,2.322,289.86,728.669,10,1200,10,9.26,7,86.46,221.41,0.912,9.67,89.757,1.029,245.59,89.332,Normal,1,2,10,5,Synthetic historical data (statistically generated)
13/10/2024,A,1604,1.102,17.676,30.6,52.618,16.101,0.101,1551.382,91.09,7.39,1.575,194.72,729.999,11,1200,10,9.65,8,89.33,289.86,1.046,9.26,89.733,1.044,235.263,91.09,Normal,1,0,10,6,Synthetic historical data (statistically generated)
13/10/2024,B,1435,0.869,12.47,30.9,35.353,10.924,0.112,1399.647,87.6,7.44,1.546,205.79,726.995,11,1200,10,9.61,7,91.09,194.72,1.102,9.65,89.376,1.02,226.151,87.602,Hard,2,1,10,6,Synthetic historical data (statistically generated)
13/10/2024,C,1844,1.081,19.934,30.4,58.714,17.849,0.109,1785.286,89.54,7.21,2.085,229.07,720.76,12,1200,12,9.24,8,87.6,205.79,0.869,9.61,89.273,1.021,227.649,89.54,Normal,1,2,10,6,Synthetic historical data (statistically generated)
14/10/2024,A,2023,1.073,21.707,30.9,63.307,19.562,0.109,1959.693,90.12,7.57,2.145,246.33,720.127,11,1200,11,9.11,8,89.54,229.07,1.081,9.24,89.231,1.017,231.63,90.118,Normal,1,0,10,0,Synthetic historical data (statistically generated)
14/10/2024,B,1858,1.11,20.624,29.2,63.849,18.644,0.115,1794.151,90.4,6.11,1.98,231.76,725.925,11,1200,10,9.83,8,90.12,246.33,1.073,9.11,89.22,1.028,231.277,90.4,Normal,1,1,10,0,Synthetic historical data (statistically generated)
14/10/2024,C,2014,1.022,20.583,29.6,62.926,18.626,0.088,1951.074,90.49,7.87,1.957,287.5,722.584,11,1200,12,9.7,7,90.4,231.76,1.11,9.83,89.796,1.043,240.719,90.492,Normal,1,2,10,0,Synthetic historical data (statistically generated)
15/10/2024,A,1908,0.998,19.042,30.3,55.653,16.863,0.111,1852.347,88.56,6.88,2.179,237.76,722.942,11,1200,12,9.24,8,90.49,287.5,1.022,9.7,89.686,1.036,233.276,88.557,Normal,1,0,10,1,Synthetic historical data (statistically generated)
15/10/2024,B,1950,1.015,19.792,30.5,58.911,17.968,0.088,1891.089,90.78,6.04,1.824,240.11,721.926,10,1200,12,9.54,8,88.56,237.76,0.998,9.24,89.641,1.024,239.76,90.784,Normal,1,1,10,1,Synthetic historical data (statistically generated)
15/10/2024,C,1839,1.078,19.824,29.3,61.072,17.894,0.095,1777.928,90.26,5.64,1.93,267.96,723.609,11,1200,10,9.71,7,90.78,240.11,1.015,9.54,90.021,1.054,248.641,90.264,Normal,1,2,10,1,Synthetic historical data (statistically generated)
16/10/2024,A,1986,1.061,21.071,30.7,61.485,18.876,0.102,1924.515,89.58,5.66,2.195,284.98,724.405,10,1200,10,9.25,7,90.26,267.96,1.078,9.71,90.027,1.051,256.629,89.583,Normal,1,0,10,2,Synthetic historical data (statistically generated)
16/10/2024,B,1936,1.043,20.192,30.2,61.099,18.452,0.095,1874.901,91.38,6.45,1.74,235.98,725.581,11,1200,12,9.6,8,89.58,284.98,1.061,9.25,90.207,1.047,255.15,91.383,Normal,1,1,10,2,Synthetic historical data (statistically generated)
