IDENTIFIERS,,PROCESS OUTPUTS,,,,,,,,,,,OPERATIONAL INPUTS,,,,,,,REAGENT INTELLIGENCE,,,,ENGINEERED FEATURES,,,,,,,CATEGORICAL,,,,,METADATA
Date,Shift,Ore Milled (MT),Head Grade (%Cu),COPPER IN HEAD (MT),Concentrate Grade (%Cu),Concentrate Production (MT),COPPER IN CONCENTRATE (MT),Tails Grade (%Cu),TAILINGS (MT),Recovery (%),Insoluble in Concentrate (%),COPPER IN TAILINGS (MT),Feed Rate (MT/h),Grinding kWh,Lime Bags,T Reagent (cc),Pine Oil (cc),Flotation pH,Milling Running Hours,SIPX Dose (g/t),Frother Dose (g/t),Depressant Dose (g/t),Conc. Mass Pull (%),Prev_Recovery (%),Prev_Feed Rate (MT/h),Prev_Head Grade (%Cu),Prev_Flotation pH,Roll7_Recovery (%),Roll7_Head Grade (%Cu),Roll7_Feed Rate (MT/h),Estimated Feed Condition,Feed_Condition_Num,Shift_Num,Month,Day_of_Week,Source
01/10/2024,A,1798.0,0.98,17.615,30.4,51.79,15.761,0.106,1745.916,89.48,6.82,1.854,256.27,744.599,11,1200,11,9.53,7,79.5,26.5,67.2,2.88,90.0,245.0,1.05,9.55,90.0,1.05,245.0,Hard,0,0,10,1,Target R2 synthetic data - leakage-free process relationship
01/10/2024,B,1759.0,0.99,17.412,29.5,52.676,15.559,0.109,1706.63,89.36,6.73,1.853,252.47,733.417,11,1200,12,9.58,7,82.9,28.4,65.5,2.99,89.48,256.27,0.98,9.53,89.925,1.04,246.61,Hard,0,1,10,1,Target R2 synthetic data - leakage-free process relationship
01/10/2024,C,1915.0,1.065,20.387,30.5,60.768,18.523,0.101,1853.969,90.85,6.57,1.865,237.14,716.338,11,1200,10,9.53,8,76.5,22.3,61.6,3.17,89.36,252.47,0.99,9.58,89.834,1.031,247.678,Soft,2,2,10,1,Target R2 synthetic data - leakage-free process relationship
02/10/2024,A,2048.0,1.042,21.352,29.8,64.638,19.245,0.106,1983.596,90.13,6.61,2.107,257.85,728.517,12,1200,12,9.33,8,79.3,24.3,59.2,3.16,90.85,237.14,1.065,9.53,89.956,1.033,246.554,Normal,1,0,10,2,Target R2 synthetic data - leakage-free process relationship
02/10/2024,B,1946.0,1.046,20.35,30.0,60.545,18.148,0.117,1885.295,89.18,7.59,2.203,237.75,758.666,10,1200,10,9.65,8,80.3,28.7,65.4,3.11,90.13,257.85,1.042,9.33,89.974,1.032,248.391,Hard,0,1,10,2,Target R2 synthetic data - leakage-free process relationship
02/10/2024,C,1932.0,1.004,19.396,29.2,58.632,17.121,0.121,1872.953,88.27,6.88,2.275,237.82,738.893,10,1200,11,9.57,8,75.9,28.2,60.7,3.04,89.18,237.75,1.046,9.65,89.857,1.032,247.354,Hard,0,2,10,2,Target R2 synthetic data - leakage-free process relationship
03/10/2024,A,2001.0,1.068,21.376,29.9,64.176,19.169,0.114,1937.315,89.67,6.23,2.207,267.97,717.651,11,1200,10,9.8,8,73.7,22.2,63.6,3.21,88.27,237.82,1.004,9.57,89.61,1.025,246.328,Soft,2,0,10,3,Target R2 synthetic data - leakage-free process relationship
03/10/2024,B,1923.0,1.027,19.746,30.1,58.644,17.673,0.111,1864.492,89.5,6.99,2.073,243.21,750.951,11,1200,11,9.68,8,83.0,27.1,66.8,3.05,89.67,267.97,1.068,9.8,89.563,1.028,249.61,Hard,0,1,10,3,Target R2 synthetic data - leakage-free process relationship
03/10/2024,C,2070.0,1.051,21.765,29.6,66.824,19.791,0.099,2003.375,90.93,6.38,1.974,252.55,708.429,12,1200,10,9.49,8,76.9,24.2,65.2,3.23,89.5,243.21,1.027,9.68,89.567,1.035,247.744,Soft,2,2,10,3,Target R2 synthetic data - leakage-free process relationship
04/10/2024,A,1946.0,1.075,20.924,30.0,63.26,18.987,0.103,1882.722,90.74,6.55,1.937,232.5,722.18,11,1200,11,9.74,8,82.2,25.8,64.1,3.25,90.93,252.55,1.051,9.49,89.792,1.043,247.755,Normal,1,0,10,4,Target R2 synthetic data - leakage-free process relationship
